"show_1","show_2","distance"
"Tokyo Ghoul","Fullmetal Alchemist: Brotherhood","0.430535840630263"
"Fullmetal Alchemist: Brotherhood","Tokyo Ghoul","0.430535840630263"
"Tokyo Ghoul","Steins;Gate","0.410864365971251"
"Steins;Gate","Tokyo Ghoul","0.410864365971251"
"Tokyo Ghoul","Naruto","0.485704553993411"
"Naruto","Tokyo Ghoul","0.485704553993411"
"Tokyo Ghoul","Sword Art Online","0.314484113203696"
"Sword Art Online","Tokyo Ghoul","0.314484113203696"
"Tokyo Ghoul","Death Note","0.417070083451427"
"Death Note","Tokyo Ghoul","0.417070083451427"
"Tokyo Ghoul","Attack on Titan","0.265458748163784"
"Attack on Titan","Tokyo Ghoul","0.265458748163784"
"Tokyo Ghoul","One Punch Man","0.310885062734229"
"One Punch Man","Tokyo Ghoul","0.310885062734229"
"Tokyo Ghoul","Angel Beats!","0.405016114756047"
"Angel Beats!","Tokyo Ghoul","0.405016114756047"
"Tokyo Ghoul","Code Geass: Lelouch of the Rebellion","0.47374279713102"
"Code Geass: Lelouch of the Rebellion","Tokyo Ghoul","0.47374279713102"
"Fullmetal Alchemist: Brotherhood","Steins;Gate","0.36923116134974"
"Steins;Gate","Fullmetal Alchemist: Brotherhood","0.36923116134974"
"Fullmetal Alchemist: Brotherhood","Naruto","0.41492961070209"
"Naruto","Fullmetal Alchemist: Brotherhood","0.41492961070209"
"Fullmetal Alchemist: Brotherhood","Sword Art Online","0.359832946543284"
"Sword Art Online","Fullmetal Alchemist: Brotherhood","0.359832946543284"
"Fullmetal Alchemist: Brotherhood","Death Note","0.345540119618696"
"Death Note","Fullmetal Alchemist: Brotherhood","0.345540119618696"
"Fullmetal Alchemist: Brotherhood","Attack on Titan","0.33675488896316"
"Attack on Titan","Fullmetal Alchemist: Brotherhood","0.33675488896316"
"Fullmetal Alchemist: Brotherhood","One Punch Man","0.402727729707488"
"One Punch Man","Fullmetal Alchemist: Brotherhood","0.402727729707488"
"Fullmetal Alchemist: Brotherhood","Angel Beats!","0.382858423638538"
"Angel Beats!","Fullmetal Alchemist: Brotherhood","0.382858423638538"
"Fullmetal Alchemist: Brotherhood","Code Geass: Lelouch of the Rebellion","0.353150899116659"
"Code Geass: Lelouch of the Rebellion","Fullmetal Alchemist: Brotherhood","0.353150899116659"
"Steins;Gate","Naruto","0.504669855969296"
"Naruto","Steins;Gate","0.504669855969296"
"Steins;Gate","Sword Art Online","0.341664010404554"
"Sword Art Online","Steins;Gate","0.341664010404554"
"Steins;Gate","Death Note","0.393679065443121"
"Death Note","Steins;Gate","0.393679065443121"
"Steins;Gate","Attack on Titan","0.333730150904735"
"Attack on Titan","Steins;Gate","0.333730150904735"
"Steins;Gate","One Punch Man","0.387313424641177"
"One Punch Man","Steins;Gate","0.387313424641177"
"Steins;Gate","Angel Beats!","0.338131094597842"
"Angel Beats!","Steins;Gate","0.338131094597842"
"Steins;Gate","Code Geass: Lelouch of the Rebellion","0.382213816075488"
"Code Geass: Lelouch of the Rebellion","Steins;Gate","0.382213816075488"
"Naruto","Sword Art Online","0.426545134863568"
"Sword Art Online","Naruto","0.426545134863568"
"Naruto","Death Note","0.347344785000207"
"Death Note","Naruto","0.347344785000207"
"Naruto","Attack on Titan","0.423715726148365"
"Attack on Titan","Naruto","0.423715726148365"
"Naruto","One Punch Man","0.487344864076837"
"One Punch Man","Naruto","0.487344864076837"
"Naruto","Angel Beats!","0.46645792111248"
"Angel Beats!","Naruto","0.46645792111248"
"Naruto","Code Geass: Lelouch of the Rebellion","0.407471901589083"
"Code Geass: Lelouch of the Rebellion","Naruto","0.407471901589083"
"Sword Art Online","Death Note","0.357231127586931"
"Death Note","Sword Art Online","0.357231127586931"
"Sword Art Online","Attack on Titan","0.229406003509856"
"Attack on Titan","Sword Art Online","0.229406003509856"
"Sword Art Online","One Punch Man","0.337110848355941"
"One Punch Man","Sword Art Online","0.337110848355941"
"Sword Art Online","Angel Beats!","0.290439372092989"
"Angel Beats!","Sword Art Online","0.290439372092989"
"Sword Art Online","Code Geass: Lelouch of the Rebellion","0.387762169947134"
"Code Geass: Lelouch of the Rebellion","Sword Art Online","0.387762169947134"
"Death Note","Attack on Titan","0.325788775091449"
"Attack on Titan","Death Note","0.325788775091449"
"Death Note","One Punch Man","0.42720795853537"
"One Punch Man","Death Note","0.42720795853537"
"Death Note","Angel Beats!","0.367032064971379"
"Angel Beats!","Death Note","0.367032064971379"
"Death Note","Code Geass: Lelouch of the Rebellion","0.293091458602559"
"Code Geass: Lelouch of the Rebellion","Death Note","0.293091458602559"
"Attack on Titan","One Punch Man","0.288753245776434"
"One Punch Man","Attack on Titan","0.288753245776434"
"Attack on Titan","Angel Beats!","0.327629708991779"
"Angel Beats!","Attack on Titan","0.327629708991779"
"Attack on Titan","Code Geass: Lelouch of the Rebellion","0.384201591795846"
"Code Geass: Lelouch of the Rebellion","Attack on Titan","0.384201591795846"
"One Punch Man","Angel Beats!","0.415120616764372"
"Angel Beats!","One Punch Man","0.415120616764372"
"One Punch Man","Code Geass: Lelouch of the Rebellion","0.460578502322695"
"Code Geass: Lelouch of the Rebellion","One Punch Man","0.460578502322695"
"Angel Beats!","Code Geass: Lelouch of the Rebellion","0.3737271958939"
"Code Geass: Lelouch of the Rebellion","Angel Beats!","0.3737271958939"
