"show_1","show_2","distance"
"Bleach","Naruto: Shippuden","0.767399505658905"
"Naruto: Shippuden","Bleach","0.767399505658905"
"Bleach","Toradora!","0.762552111654885"
"Toradora!","Bleach","0.762552111654885"
"Bleach","Fairy Tail","0.627649478013287"
"Fairy Tail","Bleach","0.627649478013287"
"Bleach","Tokyo Ghoul","0.704581597879591"
"Tokyo Ghoul","Bleach","0.704581597879591"
"Bleach","Fullmetal Alchemist: Brotherhood","0.676656585097608"
"Fullmetal Alchemist: Brotherhood","Bleach","0.676656585097608"
"Bleach","Steins;Gate","0.735"
"Steins;Gate","Bleach","0.735"
"Bleach","Naruto","0.66216306156406"
"Naruto","Bleach","0.66216306156406"
"Bleach","Sword Art Online II","0.725585009930058"
"Sword Art Online II","Bleach","0.725585009930058"
"Bleach","Blue Exorcist","0.658251374583753"
"Blue Exorcist","Bleach","0.658251374583753"
"Bleach","Akame ga Kill!","0.714051094890511"
"Akame ga Kill!","Bleach","0.714051094890511"
"Bleach","Sword Art Online","0.695008563738684"
"Sword Art Online","Bleach","0.695008563738684"
"Bleach","Noragami: Stray God","0.72310405643739"
"Noragami: Stray God","Bleach","0.72310405643739"
"Bleach","No Game, No Life","0.724619194117206"
"No Game, No Life","Bleach","0.724619194117206"
"Bleach","Code Geass: Lelouch of the Rebellion R2","0.730035110118098"
"Code Geass: Lelouch of the Rebellion R2","Bleach","0.730035110118098"
"Bleach","Death Note","0.739396292342036"
"Death Note","Bleach","0.739396292342036"
"Bleach","Attack on Titan","0.698757763975155"
"Attack on Titan","Bleach","0.698757763975155"
"Bleach","Soul Eater","0.70978286247957"
"Soul Eater","Bleach","0.70978286247957"
"Bleach","Elfen Lied","0.76369982547993"
"Elfen Lied","Bleach","0.76369982547993"
"Bleach","One Punch Man","0.717862481315396"
"One Punch Man","Bleach","0.717862481315396"
"Bleach","The Future Diary","0.717606294665415"
"The Future Diary","Bleach","0.717606294665415"
"Bleach","Fullmetal Alchemist","0.741811301057027"
"Fullmetal Alchemist","Bleach","0.741811301057027"
"Bleach","Gurren Lagann","0.767428530486494"
"Gurren Lagann","Bleach","0.767428530486494"
"Bleach","Angel Beats!","0.745345704878779"
"Angel Beats!","Bleach","0.745345704878779"
"Bleach","Code Geass: Lelouch of the Rebellion","0.734594122781495"
"Code Geass: Lelouch of the Rebellion","Bleach","0.734594122781495"
"Naruto: Shippuden","Toradora!","0.877049720118538"
"Toradora!","Naruto: Shippuden","0.877049720118538"
"Naruto: Shippuden","Fairy Tail","0.764501160092807"
"Fairy Tail","Naruto: Shippuden","0.764501160092807"
"Naruto: Shippuden","Tokyo Ghoul","0.792317880794702"
"Tokyo Ghoul","Naruto: Shippuden","0.792317880794702"
"Naruto: Shippuden","Fullmetal Alchemist: Brotherhood","0.839360375559305"
"Fullmetal Alchemist: Brotherhood","Naruto: Shippuden","0.839360375559305"
"Naruto: Shippuden","Steins;Gate","0.850253602769503"
"Steins;Gate","Naruto: Shippuden","0.850253602769503"
"Naruto: Shippuden","Naruto","0.790130624092888"
"Naruto","Naruto: Shippuden","0.790130624092888"
"Naruto: Shippuden","Sword Art Online II","0.770749701638277"
"Sword Art Online II","Naruto: Shippuden","0.770749701638277"
"Naruto: Shippuden","Blue Exorcist","0.825274725274725"
"Blue Exorcist","Naruto: Shippuden","0.825274725274725"
"Naruto: Shippuden","Akame ga Kill!","0.774560496380558"
"Akame ga Kill!","Naruto: Shippuden","0.774560496380558"
"Naruto: Shippuden","Sword Art Online","0.828283489300438"
"Sword Art Online","Naruto: Shippuden","0.828283489300438"
"Naruto: Shippuden","Noragami: Stray God","0.803465441317251"
"Noragami: Stray God","Naruto: Shippuden","0.803465441317251"
"Naruto: Shippuden","No Game, No Life","0.808256477821695"
"No Game, No Life","Naruto: Shippuden","0.808256477821695"
"Naruto: Shippuden","Code Geass: Lelouch of the Rebellion R2","0.871255227257147"
"Code Geass: Lelouch of the Rebellion R2","Naruto: Shippuden","0.871255227257147"
"Naruto: Shippuden","Death Note","0.873944963292214"
"Death Note","Naruto: Shippuden","0.873944963292214"
"Naruto: Shippuden","Attack on Titan","0.824531516183986"
"Attack on Titan","Naruto: Shippuden","0.824531516183986"
"Naruto: Shippuden","Soul Eater","0.870942812982998"
"Soul Eater","Naruto: Shippuden","0.870942812982998"
"Naruto: Shippuden","Elfen Lied","0.8860625"
"Elfen Lied","Naruto: Shippuden","0.8860625"
"Naruto: Shippuden","One Punch Man","0.784341510937915"
"One Punch Man","Naruto: Shippuden","0.784341510937915"
"Naruto: Shippuden","The Future Diary","0.834566295423136"
"The Future Diary","Naruto: Shippuden","0.834566295423136"
"Naruto: Shippuden","Fullmetal Alchemist","0.887516665497158"
"Fullmetal Alchemist","Naruto: Shippuden","0.887516665497158"
"Naruto: Shippuden","Gurren Lagann","0.881163187393388"
"Gurren Lagann","Naruto: Shippuden","0.881163187393388"
"Naruto: Shippuden","Angel Beats!","0.86434309406582"
"Angel Beats!","Naruto: Shippuden","0.86434309406582"
"Naruto: Shippuden","Code Geass: Lelouch of the Rebellion","0.876533366045142"
"Code Geass: Lelouch of the Rebellion","Naruto: Shippuden","0.876533366045142"
"Toradora!","Fairy Tail","0.74330180042722"
"Fairy Tail","Toradora!","0.74330180042722"
"Toradora!","Tokyo Ghoul","0.639005293339215"
"Tokyo Ghoul","Toradora!","0.639005293339215"
"Toradora!","Fullmetal Alchemist: Brotherhood","0.59541385267787"
"Fullmetal Alchemist: Brotherhood","Toradora!","0.59541385267787"
"Toradora!","Steins;Gate","0.572726759609415"
"Steins;Gate","Toradora!","0.572726759609415"
"Toradora!","Naruto","0.642370137832933"
"Naruto","Toradora!","0.642370137832933"
"Toradora!","Sword Art Online II","0.671267102914932"
"Sword Art Online II","Toradora!","0.671267102914932"
"Toradora!","Blue Exorcist","0.613418708240534"
"Blue Exorcist","Toradora!","0.613418708240534"
"Toradora!","Akame ga Kill!","0.695775156475686"
"Akame ga Kill!","Toradora!","0.695775156475686"
"Toradora!","Sword Art Online","0.524045333877884"
"Sword Art Online","Toradora!","0.524045333877884"
"Toradora!","Noragami: Stray God","0.626081365443068"
"Noragami: Stray God","Toradora!","0.626081365443068"
"Toradora!","No Game, No Life","0.590536277602524"
"No Game, No Life","Toradora!","0.590536277602524"
"Toradora!","Code Geass: Lelouch of the Rebellion R2","0.578620582604646"
"Code Geass: Lelouch of the Rebellion R2","Toradora!","0.578620582604646"
"Toradora!","Death Note","0.564516129032258"
"Death Note","Toradora!","0.564516129032258"
"Toradora!","Attack on Titan","0.55789159027501"
"Attack on Titan","Toradora!","0.55789159027501"
"Toradora!","Soul Eater","0.646627073061407"
"Soul Eater","Toradora!","0.646627073061407"
"Toradora!","Elfen Lied","0.592127753088831"
"Elfen Lied","Toradora!","0.592127753088831"
"Toradora!","One Punch Man","0.633742127941664"
"One Punch Man","Toradora!","0.633742127941664"
"Toradora!","The Future Diary","0.58289996085668"
"The Future Diary","Toradora!","0.58289996085668"
"Toradora!","Fullmetal Alchemist","0.660215482841181"
"Fullmetal Alchemist","Toradora!","0.660215482841181"
"Toradora!","Gurren Lagann","0.622031919034644"
"Gurren Lagann","Toradora!","0.622031919034644"
"Toradora!","Angel Beats!","0.479701651571657"
"Angel Beats!","Toradora!","0.479701651571657"
